raxml -m GTRGAMMA -p 12345 -T 128 -N 1000
Alignment sites: 34 518841
Alignment has 2496 completely undetermined sites that will be automatically removed from the input data
Alignment has 64243 distinct alignment patterns
Proportion of gaps and completely undetermined characters in this alignment: 89.45%
Partition: 0
Alignment Patterns: 64243
DataType: DNA
Substitution Matrix: GTR
Partition: 0
Base frequencies: 0.265 0.236 0.232 0.266
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.938122 2.119327 0.888025 0.605122 2.026494 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.948727 2.148157 0.900825 0.614976 2.054046 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.956279 2.157336 0.901694 0.614135 2.066370 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.939666 2.124828 0.891864 0.608452 2.030226 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.941851 2.121608 0.885208 0.602785 2.032432 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.941553 2.132426 0.894169 0.609805 2.036948 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.942421 2.129825 0.894762 0.610055 2.040677 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955682 2.156387 0.899898 0.618521 2.063672 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.952529 2.159283 0.901124 0.615174 2.068372 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.943845 2.133287 0.893532 0.608755 2.042991 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.936636 2.115761 0.886872 0.604130 2.024365 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955272 2.162710 0.904701 0.620245 2.070404 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955055 2.149351 0.900923 0.611273 2.058489 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.961180 2.163793 0.920573 0.626113 2.067005 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.947120 2.136982 0.895645 0.611087 2.046551 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.945142 2.131358 0.893897 0.609405 2.041672 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.943116 2.137946 0.894964 0.612031 2.044308 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.936207 2.114447 0.886397 0.603870 2.023080 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.954811 2.151045 0.904812 0.614287 2.058289 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.949236 2.147795 0.901372 0.615476 2.055937 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.949284 2.153016 0.903245 0.614540 2.057683 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.942994 2.128867 0.892186 0.608480 2.037903 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.951069 2.147290 0.899479 0.613851 2.057542 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.932846 2.110307 0.886837 0.599262 2.019620 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.935619 2.115028 0.888148 0.605360 2.020029 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.934899 2.116863 0.887590 0.599644 2.027562 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.956164 2.161505 0.905051 0.616656 2.069659 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.948285 2.145805 0.897742 0.612756 2.054533 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.931435 2.111044 0.886583 0.603262 2.016271 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.947996 2.144892 0.897425 0.612593 2.053720 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.958000 2.161207 0.905242 0.615199 2.065578 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.944465 2.135646 0.893708 0.610262 2.043155 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.935561 2.117385 0.888366 0.609178 2.024551 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.950012 2.157301 0.903458 0.609601 2.062582 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.940642 2.123208 0.889899 0.606118 2.031711 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.942631 2.125392 0.891447 0.607937 2.037335 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955530 2.158503 0.909904 0.616752 2.063497 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.942939 2.124616 0.888614 0.611953 2.034321 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.929552 2.093624 0.880033 0.598125 2.004318 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.951119 2.159412 0.906644 0.617796 2.063214 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.935443 2.115819 0.889260 0.605652 2.022594 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.944479 2.130365 0.891795 0.606112 2.040244 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.948514 2.140701 0.897002 0.611851 2.048405 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.952999 2.156004 0.902296 0.614490 2.062780 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.954314 2.148689 0.900344 0.615173 2.057753 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.954241 2.164088 0.906413 0.619968 2.069019 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.937961 2.120448 0.887896 0.605701 2.030593 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.967200 2.176038 0.910100 0.620338 2.082953 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.958345 2.172061 0.907841 0.618534 2.079990 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955389 2.166691 0.907151 0.618370 2.071050 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.952064 2.151533 0.900444 0.614154 2.057996 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.936815 2.115466 0.886755 0.604613 2.024066 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.933861 2.111474 0.886763 0.605795 2.018841 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.944504 2.134345 0.894582 0.609391 2.044577 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.942159 2.130915 0.893864 0.608463 2.038018 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.946065 2.131454 0.891793 0.608589 2.041646 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.961558 2.160930 0.910777 0.618312 2.066416 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.950791 2.147422 0.899475 0.613805 2.057519 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.951412 2.153995 0.900927 0.614536 2.062850 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.945243 2.140072 0.893841 0.609459 2.049337 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.938004 2.117142 0.886097 0.606358 2.025492 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.959199 2.172102 0.907982 0.618321 2.080507 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.953335 2.167631 0.910645 0.621106 2.073007 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.951049 2.154469 0.903901 0.616547 2.061162 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.948989 2.152196 0.901043 0.614320 2.056281 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.949977 2.148456 0.898719 0.613571 2.056735 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.950211 2.151515 0.901995 0.614890 2.057980 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.945451 2.136121 0.894700 0.609732 2.044444 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.947141 2.144496 0.900820 0.612852 2.049476 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.946823 2.136667 0.895861 0.611213 2.049436 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.965897 2.171820 0.918618 0.626653 2.078659 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.960036 2.166068 0.904604 0.622454 2.072140 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.949965 2.152995 0.899352 0.616116 2.062322 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.951533 2.154656 0.899643 0.617100 2.060564 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.949189 2.153877 0.902158 0.614482 2.058103 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.958196 2.162570 0.908002 0.619921 2.070429 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.954857 2.152244 0.901644 0.605323 2.057853 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.944746 2.133151 0.893682 0.610020 2.045470 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.947781 2.143753 0.896993 0.613201 2.052385 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.934732 2.111567 0.887011 0.604050 2.019427 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.961209 2.177407 0.923259 0.631990 2.081198 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.946034 2.139481 0.895025 0.611320 2.047944 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.970322 2.182852 0.909709 0.620875 2.089270 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.959086 2.162574 0.904775 0.613994 2.071396 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.947649 2.149489 0.906099 0.614570 2.057320 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.945302 2.136988 0.894432 0.610731 2.045585 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.961101 2.180251 0.912551 0.621188 2.085009 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955184 2.152092 0.902397 0.615558 2.060077 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.951705 2.153213 0.899889 0.615252 2.057628 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.935445 2.109857 0.885175 0.603000 2.019656 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.962721 2.180665 0.914329 0.622303 2.088599 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.949186 2.147027 0.898732 0.612401 2.054464 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.947969 2.139202 0.896591 0.609630 2.049044 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.952738 2.158238 0.904858 0.616963 2.062867 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.958328 2.155567 0.901218 0.616353 2.063707 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.951006 2.154331 0.900736 0.613560 2.061639 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.970658 2.182000 0.917708 0.617152 2.088633 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.960191 2.169166 0.908492 0.618935 2.080239 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.957594 2.166184 0.909648 0.618922 2.069972 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.934073 2.111441 0.887056 0.604281 2.019018 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.967623 2.181027 0.914055 0.617466 2.087457 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.937365 2.111472 0.879813 0.606751 2.019389 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.947187 2.142850 0.896496 0.611745 2.049363 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.949697 2.149563 0.901065 0.614782 2.056222 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.956747 2.170905 0.908516 0.618686 2.074874 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.952026 2.151620 0.905381 0.616659 2.060127 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.948731 2.146677 0.897670 0.613166 2.054676 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.956897 2.177466 0.904908 0.619424 2.079094 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.957407 2.157900 0.904683 0.611859 2.066803 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.959007 2.170855 0.911040 0.618946 2.072467 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.956531 2.152260 0.901798 0.617616 2.060637 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955314 2.159981 0.903941 0.616261 2.067542 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.948507 2.139480 0.895566 0.610953 2.047488 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.964799 2.166109 0.911910 0.616484 2.073834 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.954761 2.160956 0.903942 0.613713 2.068751 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955153 2.153240 0.906147 0.619632 2.057462 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.959640 2.174635 0.908800 0.618622 2.080270 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.949354 2.143372 0.897858 0.612790 2.051922 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.948332 2.150136 0.898410 0.612760 2.055059 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.945843 2.137976 0.894577 0.611523 2.048820 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.938042 2.119405 0.888134 0.605187 2.026895 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.960766 2.167141 0.909627 0.616666 2.075095 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.948890 2.143771 0.897608 0.612458 2.053163 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955204 2.151954 0.906832 0.614436 2.057087 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.965537 2.171780 0.919063 0.621541 2.079201 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955176 2.152088 0.902395 0.615560 2.060074 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.966797 2.187655 0.900364 0.610789 2.092665 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.952986 2.150231 0.900113 0.613918 2.058028 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.951321 2.149631 0.899598 0.613851 2.056106 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.952170 2.150088 0.900677 0.614531 2.060408 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.953421 2.154014 0.902214 0.615365 2.064467 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.937525 2.117652 0.889734 0.606459 2.023344 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.955784 2.157279 0.909624 0.618089 2.062013 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.969508 2.196937 0.917069 0.623288 2.098892 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.974564 2.184028 0.913130 0.628932 2.085923 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.936943 2.119539 0.889919 0.606567 2.024782 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.975263 2.183831 0.921866 0.624206 2.090115 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.949264 2.144513 0.897753 0.612690 2.052083 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.951787 2.162656 0.899324 0.614522 2.065071 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.952819 2.150299 0.899813 0.615698 2.059473 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.933416 2.103190 0.883223 0.601521 2.014165 1.000000
alpha[0]: 0.020000 rates[0] ac ag at cg ct gt: 0.961072 2.175839 0.905572 0.628348 2.081994 1.000000
